model,hf_id,architecture,layers,hidden_size,main role in paper,used in core paper?
XLM-R-base,FacebookAI/xlm-roberta-base,multilingual encoder,13,768,strong multilingual encoder baseline,yes
NLLB-200-distilled-600M encoder,facebook/nllb-200-distilled-600M,seq2seq encoder,13,1024,explicitly multilingual shared-space model,yes
